MJD,X,XE,O,OE
54269.3148706678 ,57.2730331000 ,49.4060402000 ,17014.9003922982 ,724.4622366405 
54269.3148712420 ,77.4265137000 ,53.3584099000 ,18697.9281030909 ,757.8388201015 
54269.3148718166 ,16.9660492000 ,40.3562927000 ,15133.1186831275 ,687.9283890541 
54269.3148723908 ,77.4265137000 ,53.3584099000 ,17112.8040323210 ,728.1930804121 
54269.3148729649 ,16.9660492000 ,40.3562927000 ,15807.0399327145 ,706.7683157610 
54269.3148735396 ,37.1195450000 ,45.1086845000 ,20072.5519041182 ,802.9931260701 
54269.3148741137 ,97.5800018000 ,57.0375557000 ,20532.2042834399 ,804.4095809678 
54269.3148746879 ,57.2730331000 ,49.4060402000 ,21211.7286041272 ,824.2424102610 
54269.3148752625 ,-3.1874352000 ,34.9638023000 ,18923.4461782463 ,756.1999771710 
54269.3148758366 ,77.4265137000 ,53.3584099000 ,19893.7285488570 ,803.9511940164 
54269.3148764108 ,-23.3409271000 ,28.5710373000 ,17419.1987600252 ,733.0342494969 
54269.3148769854 ,-3.1874352000 ,34.9638023000 ,19606.1632897780 ,791.3128328978 
54269.3148775596 ,-3.1874352000 ,34.9638023000 ,17317.8254975819 ,742.0484238984 
54269.3148781337 ,37.1195450000 ,45.1086845000 ,17052.5273401219 ,744.7649106365 
54269.3148787083 ,16.9660492000 ,40.3562927000 ,15698.6302267880 ,692.5464780271 
54269.3148792825 ,137.8869934000 ,63.7621269000 ,18627.0161569192 ,770.4277360248 
54269.3148798571 ,16.9660492000 ,40.3562927000 ,20195.5389456609 ,806.8632315040 
54269.3148804313 ,117.7334900000 ,60.4933586000 ,16440.4305788351 ,712.2931050434 
54269.3148810054 ,16.9660492000 ,40.3562927000 ,17147.1286870325 ,734.8646444985 
54269.3148815800 ,97.5800018000 ,57.0375557000 ,18832.9025670601 ,774.0253161515 
54269.3148821542 ,77.4265137000 ,53.3584099000 ,18218.8064666125 ,754.5312979484 
54269.3148827288 ,16.9660492000 ,40.3562927000 ,16261.6502862635 ,720.7986014238 
54269.3148833030 ,-43.4944153000 ,20.2519398000 ,16145.0156066204 ,717.8169715539 
54269.3148838771 ,-43.4944153000 ,20.2519398000 ,18058.8310354149 ,773.3420035445 
54269.3148844513 ,97.5800018000 ,57.0375557000 ,20084.8493779099 ,823.5098831516 
54269.3148850259 ,37.1195450000 ,45.1086845000 ,19860.8975542939 ,821.3596707819 
54269.3148856000 ,16.9660492000 ,40.3562927000 ,18626.7516289687 ,797.1829695714 
54269.3148861747 ,-63.6479034000 ,1.9944910000 ,19005.8312552942 ,794.9663945210 
54269.3148867488 ,-3.1874352000 ,34.9638023000 ,17694.8873293082 ,774.0236244030 
54269.3148873230 ,16.9660492000 ,40.3562927000 ,18377.9698585203 ,776.8904460665 
54269.3148878976 ,77.4265137000 ,53.3584099000 ,16754.0782938331 ,757.0477738728 
54269.3148884717 ,57.2730331000 ,49.4060402000 ,17992.5415613829 ,772.8001826319 
54269.3148890459 ,-23.3409271000 ,28.5710373000 ,14751.4479132498 ,708.1257901535 
54269.3148896205 ,-3.1874352000 ,34.9638023000 ,17112.2454477186 ,751.4592364303 
54269.3148901947 ,57.2730331000 ,49.4060402000 ,16606.2391589318 ,726.1497557899 
54269.3148907693 ,-3.1874352000 ,34.9638023000 ,17398.7538253582 ,754.2726911177 
54269.3148913434 ,97.5800018000 ,57.0375557000 ,17308.3935381935 ,756.2626487639 
54269.3148919176 ,-3.1874352000 ,34.9638023000 ,17508.9192586584 ,766.7513357965 
54269.3148924917 ,77.4265137000 ,53.3584099000 ,16501.9450157700 ,729.0555645670 
